Year: 2018  Month: 12  ID: CBD  ARGOS:  9504  Name: CAPE BIRD           
Lat: 77.22S  Lon: 166.44E  Elev:   38m
2018 335 12  1 0000   -3.0  980.0    2.6  244.5   66.2  444.0
2018 335 12  1 0300   -2.6  979.6    4.9  245.0   69.2  444.0
2018 335 12  1 0600   -2.7  979.2    3.8  240.2   55.4  444.0
2018 335 12  1 0900   -2.5  978.7    3.8  237.0   59.4  444.0
2018 335 12  1 1200   -3.4  978.0    4.0  228.7   71.5  444.0
2018 335 12  1 1500   -5.0  977.7    0.1   84.2   74.1  444.0
2018 335 12  1 1800   -4.5  977.1    1.5   66.2   72.8  444.0
2018 335 12  1 2100   -1.9  976.4    0.4  154.9   30.9  444.0
2018 336 12  2 0000   -0.8  976.0    1.6  308.9   32.7  444.0
2018 336 12  2 0300   -0.8  975.8    2.7   16.4   34.3  444.0
2018 336 12  2 0600   -1.4  975.7    6.5   26.4   57.9  444.0
2018 336 12  2 0900   -2.6  975.8    8.6   21.3   57.1  444.0
2018 336 12  2 1200   -1.3  977.5    3.9   50.9   32.5  444.0
2018 336 12  2 1500   -2.2  978.4    2.5  188.9   55.5  444.0
2018 336 12  2 1800   -3.2  980.2    3.4  213.4   69.0  444.0
2018 336 12  2 2100   -2.6  982.1    3.6   42.7   67.1  444.0
2018 337 12  3 0000   -1.1  984.3    1.1  349.1   50.3  444.0
2018 337 12  3 0300   -0.9  986.1    2.4    3.9   63.2  444.0
2018 337 12  3 0600   -1.0  987.7    2.9  241.7   68.0  444.0
2018 337 12  3 0900   -2.3  989.0    1.1  357.4   75.7  444.0
2018 337 12  3 1200   -2.7  989.7    5.1  221.2   76.8  444.0
2018 337 12  3 1500   -3.8  989.5    1.6  231.5   80.6  444.0
2018 337 12  3 1800   -3.5  988.4    4.0  217.3   84.3  444.0
2018 337 12  3 2100   -3.7  987.1    1.3  332.6   80.4  444.0
2018 338 12  4 0000   -4.4  985.0    4.9   47.4   91.2  444.0
2018 338 12  4 0300   -4.6  984.2    6.9  201.8   93.3  444.0
2018 338 12  4 0600   -3.9  984.8    1.5  209.5   91.9  444.0
2018 338 12  4 0900   -3.0  984.3    1.9  187.0   81.9  444.0
2018 338 12  4 1200   -2.8  983.6    2.8   82.0   71.1  444.0
2018 338 12  4 1500   -2.1  983.7    3.3   48.9   61.9  444.0
2018 338 12  4 1800   -2.6  983.3    3.5  100.6   58.7  444.0
2018 338 12  4 2100   -2.3  982.6    2.1   17.8   71.1  444.0
2018 339 12  5 0000   -2.1  981.0    9.5  223.3   73.4  444.0
2018 339 12  5 0300   -1.5  979.1   10.6  233.5   70.0  444.0
2018 339 12  5 0600   -1.1  977.9    8.2  239.4   70.0  444.0
2018 339 12  5 0900   -0.2  976.9    5.6  189.9   49.3  444.0
2018 339 12  5 1200    0.1  976.1    3.0  207.8   37.5  444.0
2018 339 12  5 1500   -1.4  974.0    5.1  139.1   37.6  444.0
2018 339 12  5 1800   -1.7  972.5    0.1  300.6   70.3  444.0
2018 339 12  5 2100   -0.8  970.9    1.1  308.2   63.9  444.0
2018 340 12  6 0000    0.9  970.1    2.3    9.1   45.6  444.0
2018 340 12  6 0300    1.9  969.3    2.5    4.9   40.6  444.0
2018 340 12  6 0600    0.0  969.1    3.4  255.2   72.7  444.0
2018 340 12  6 0900   -0.5  969.6    1.5  233.8   60.4  444.0
2018 340 12  6 1200   -1.9  970.2    1.3  109.6   59.9  444.0
2018 340 12  6 1500   -3.6  970.4    1.8  109.0   58.2  444.0
2018 340 12  6 1800   -2.2  971.2    0.5   83.6   66.3  444.0
2018 340 12  6 2100   -1.9  972.3    1.3  303.6   61.2  444.0
2018 341 12  7 0000   -1.4  973.9    2.4  235.8   72.9  444.0
2018 341 12  7 0300   -0.7  974.9    2.4  232.5   64.5  444.0
2018 341 12  7 0600   -2.0  976.0    4.5   22.2   59.0  444.0
2018 341 12  7 0900   -2.5  977.9    1.4   13.1   58.9  444.0
2018 341 12  7 1200   -3.2  978.9    2.6  101.1   68.8  444.0
2018 341 12  7 1500   -3.3  978.9    2.7  215.2   74.1  444.0
2018 341 12  7 1800   -1.5  978.5    3.8   62.8   50.0  444.0
2018 341 12  7 2100   -0.5  979.4    1.0   37.1   53.9  444.0
2018 342 12  8 0000   -1.0  980.1    3.0   10.7   71.7  444.0
2018 342 12  8 0300    1.2  979.7    3.1  255.3   45.9  444.0
2018 342 12  8 0600    0.9  979.1    4.8   39.9   54.0  444.0
