Year: 2018  Month: 01  ID: CHA  ARGOS:  9602  Name: CAPE HALLETT        
Lat: 72.19S  Lon: 170.17E  Elev:    1m
2018   1  1  1 0000   -1.2  986.9    2.1  246.5   79.1  444.0
2018   1  1  1 0300    0.1  987.2    2.9  204.4   70.5  444.0
2018   1  1  1 0600   -1.8  987.5    0.6   91.7   62.3  444.0
2018   1  1  1 0900   -2.6  988.4    1.7  233.6   76.4  444.0
2018   1  1  1 1200   -3.8  988.5    0.0  310.4   77.9  444.0
2018   1  1  1 1500   -6.7  988.3    0.7  248.6   87.9  444.0
2018   1  1  1 1800   -7.4  988.4    0.1  222.4   88.0  444.0
2018   1  1  1 2100  444.0  989.2    1.4   27.4   73.1  444.0
2018   2  1  2 0000    0.0  989.7    2.6   49.5   61.1  444.0
2018   2  1  2 0300   -1.5  990.5    1.7  337.9   73.5  444.0
2018   2  1  2 0600   -2.2  990.9    1.5  350.4   78.1  444.0
2018   2  1  2 0900   -3.0  991.8    1.4  246.4   85.0  444.0
2018   2  1  2 1200   -3.7  993.0    0.0    7.3   82.5  444.0
2018   2  1  2 1500  444.0  993.4    1.0  233.1   89.9  444.0
2018   2  1  2 1800   -4.9  994.5    0.1  317.0   84.0  444.0
2018   2  1  2 2100   -3.2  995.9    0.6  245.2   82.7  444.0
2018   3  1  3 0000   -0.5  996.6    2.7   33.6   78.9  444.0
2018   3  1  3 0300   -1.0  997.1    3.0   47.3   73.1  444.0
2018   3  1  3 0600   -1.9  997.3    2.5   94.4   74.7  444.0
2018   3  1  3 0900   -2.7  997.9    4.2  136.2   71.8  444.0
2018   3  1  3 1200   -3.6  998.3    1.2  161.9   75.0  444.0
2018   3  1  3 1500   -5.8  997.7    1.1  233.0   83.4  444.0
2018   3  1  3 1800   -5.5  996.5    0.0  138.7   85.0  444.0
2018   3  1  3 2100   -4.7  995.4    1.0  235.1   94.8  444.0
2018   4  1  4 0000  444.0  993.6    0.7  236.9   90.3  444.0
2018   4  1  4 0300   -3.8  991.9    0.9  244.9   89.5  444.0
2018   4  1  4 0600   -4.5  990.3    4.1  237.2   95.1  444.0
2018   4  1  4 0900   -3.9  989.5    4.2  215.3   82.5  444.0
2018   4  1  4 1200   -4.3  988.6    2.3  119.7   78.1  444.0
2018   4  1  4 1500   -4.7  987.9    2.2  209.5   74.7  444.0
2018   4  1  4 1800   -4.5  987.2    5.8  147.9   75.9  444.0
2018   4  1  4 2100   -4.2  987.2    6.2  137.4   69.3  444.0
2018   5  1  5 0000   -2.0  986.7    4.7  130.6   73.9  444.0
2018   5  1  5 0300   -1.0  985.9    2.4  187.6   64.4  444.0
2018   5  1  5 0600   -2.3  986.6    1.5  142.4   64.3  444.0
2018   5  1  5 0900   -1.9  986.7    3.0  128.6   64.3  444.0
2018   5  1  5 1200   -3.1  987.9    5.0  236.9   72.4  444.0
2018   5  1  5 1500   -3.0  988.1    8.9  225.2   59.5  444.0
2018   5  1  5 1800   -2.4  988.8   10.0  208.0   57.4  444.0
2018   5  1  5 2100   -2.9  989.1    6.8  229.7   74.2  444.0
2018   6  1  6 0000   -3.4  988.8    7.9  237.3   86.8  444.0
2018   6  1  6 0300   -2.4  988.3    7.7  227.0   73.8  444.0
2018   6  1  6 0600   -0.4  989.3    4.6  216.2   46.7  444.0
2018   6  1  6 0900   -1.1  990.1    6.2  205.6   44.8  444.0
2018   6  1  6 1200   -4.4  991.4    4.7  231.5   75.1  444.0
2018   6  1  6 1500   -5.0  992.0    0.2  217.0   75.4  444.0
2018   6  1  6 1800   -4.3  992.5    1.3  245.3   70.5  444.0
2018   6  1  6 2100  444.0  993.3    1.2  227.8   59.2  444.0
2018   7  1  7 0000  444.0  993.8    0.3  251.5   48.2  444.0
2018   7  1  7 0300  444.0  994.0    0.6  280.7   70.4  444.0
2018   7  1  7 0600  444.0  994.0    1.1  246.3   79.3  444.0
2018   7  1  7 0900  444.0  993.4    1.7   50.9   75.4  444.0
2018   7  1  7 1200   -3.3  993.4    2.2  231.7   94.3  444.0
2018   7  1  7 1500   -4.4  992.0    0.2  235.2   93.7  444.0
2018   7  1  7 1800   -2.5  991.9    5.8  111.0   82.5  444.0
2018   7  1  7 2100   -2.9  992.2    4.6   87.5   94.0  444.0
2018   8  1  8 0000   -2.1  991.8    5.7  103.0   90.4  444.0
2018   8  1  8 0300   -1.4  991.8    4.7  123.4   90.0  444.0
2018   8  1  8 0600   -1.7  991.6    5.8  133.9   88.7  444.0
2018   8  1  8 0900   -2.2  992.1    2.0  142.9   92.5  444.0
2018   8  1  8 1200   -3.1  992.6    0.5  243.7   97.7  444.0
2018   8  1  8 1500   -2.7  993.4    0.8  170.3   91.8  444.0
2018   8  1  8 1800   -2.5  994.7    1.0  171.3   86.7  444.0
2018   8  1  8 2100   -2.9  996.1    1.2   36.9   92.7  444.0
2018   9  1  9 0000   -0.9  997.2    0.7   28.1   77.7  444.0
2018   9  1  9 0300   -0.6  997.4    5.6  136.0   76.4  444.0
2018   9  1  9 0600   -1.0  998.1    6.6  153.8   74.9  444.0
2018   9  1  9 0900   -1.4  998.7    5.8  139.5   78.0  444.0
2018   9  1  9 1200   -1.3  999.2    2.2  217.3   77.8  444.0
2018   9  1  9 1500   -0.3  998.9    5.9  195.5   73.3  444.0
2018   9  1  9 1800    0.0  999.0    3.9  197.8   62.5  444.0
2018   9  1  9 2100   -0.5  998.4    3.6  176.5   71.8  444.0
2018  10  1 10 0000    1.1  997.6    1.1  177.8   63.4  444.0
2018  10  1 10 0300    1.4  996.7    3.1  227.4   64.2  444.0
2018  10  1 10 0600    1.1  995.7    3.6  221.7   62.9  444.0
2018  10  1 10 0900   -1.1  994.7    1.9   61.0   69.1  444.0
2018  10  1 10 1200  444.0  993.6    0.0   44.6   82.6  444.0
2018  10  1 10 1500   -6.1  991.9    0.8  232.1   89.5  444.0
2018  10  1 10 1800   -4.0  990.0    1.9  236.2   69.2  444.0
2018  10  1 10 2100   -1.7  988.9    2.8   61.5   56.3  444.0
2018  11  1 11 0000  444.0  988.3    1.5  233.9   63.4  444.0
2018  11  1 11 0300  444.0  986.9    1.5   23.6   45.0  444.0
2018  11  1 11 0600    2.0  985.9    1.9   38.6   41.2  444.0
2018  11  1 11 0900    0.3  985.7    4.1  108.4   49.9  444.0
2018  11  1 11 1200  444.0  985.7    2.9  154.3   51.8  444.0
2018  11  1 11 1500   -4.4  985.3    1.2  224.6   72.2  444.0
2018  11  1 11 1800  444.0  985.9    0.7  216.0   86.7  444.0
2018  11  1 11 2100   -4.4  986.6    1.0  232.2   88.3  444.0
2018  12  1 12 0000   -2.1  987.2    1.8    1.0   83.9  444.0
2018  12  1 12 0300   -1.5  988.0    2.1  237.3   82.2  444.0
2018  12  1 12 0600   -2.0  989.2    1.2  333.8   83.4  444.0
2018  12  1 12 0900   -2.8  990.8    2.0  233.6   88.1  444.0
2018  12  1 12 1200   -3.9  992.6    1.2  221.0   92.7  444.0
2018  12  1 12 1500   -3.5  993.8    0.8   32.6   89.1  444.0
2018  12  1 12 1800   -3.5  994.5    2.2  313.0   86.9  444.0
2018  12  1 12 2100   -2.8  995.4    0.8  265.2   81.3  444.0
2018  13  1 13 0000   -7.2  996.5    2.0  355.8   77.4  444.0
2018  13  1 13 0300   -6.1  997.4    1.4    9.9   77.0  444.0
2018  13  1 13 0600   -6.4  998.5    0.6  338.1   77.7  444.0
2018  13  1 13 0900  444.0  998.9    0.6   32.9   82.5  444.0
2018  13  1 13 1200  444.0  998.4    0.4    9.2   89.4  444.0
2018  13  1 13 1500   -2.2  995.6    3.4   83.2   88.9  444.0
2018  13  1 13 1800   -2.9  992.5    3.7   81.9   94.5  444.0
2018  13  1 13 2100   -2.3  989.4    1.8  227.5   89.3  444.0
2018  14  1 14 0000   -0.8  987.0    1.4  207.8   79.4  444.0
2018  14  1 14 0300   -0.6  985.3    1.4   55.0   76.5  444.0
2018  14  1 14 0600   -0.8  985.8    4.0  210.8   70.7  444.0
2018  14  1 14 0900   -0.8  986.1    3.2  210.2   63.5  444.0
2018  14  1 14 1200   -1.9  986.8    8.9  240.3   77.3  444.0
2018  14  1 14 1500   -2.3  987.6    8.0  244.1   76.4  444.0
2018  14  1 14 1800   -1.4  988.2    5.9  238.5   74.0  444.0
2018  14  1 14 2100    0.6  988.8    3.5  220.4   69.8  444.0
2018  15  1 15 0000    0.4  988.1    4.2   72.3   72.3  444.0
2018  15  1 15 0300    0.6  986.6    2.9   58.6   70.9  444.0
2018  15  1 15 0600   -0.1  984.7    1.6   62.0   79.5  444.0
2018  15  1 15 0900   -1.0  982.9    2.4   56.4   85.0  444.0
2018  15  1 15 1200   -2.0  981.6    3.8  140.2   84.9  444.0
2018  15  1 15 1500   -3.3  980.1    0.5  234.1   95.1  444.0
2018  15  1 15 1800   -2.8  978.9    1.2  250.0   93.6  444.0
2018  15  1 15 2100   -1.6  977.7    2.6  234.5   85.9  444.0
2018  16  1 16 0000   -0.9  976.6    1.2  234.4   81.5  444.0
2018  16  1 16 0300   -5.1  975.1    2.1  230.6   80.5  444.0
2018  16  1 16 0600   -8.0  974.3    2.5  159.4   82.5  444.0
2018  16  1 16 0900   -1.2  974.2    0.8  232.2   89.3  444.0
2018  16  1 16 1200   -1.4  974.1    0.6  218.0   93.4  444.0
2018  16  1 16 1500   -1.7  973.5    0.5   17.4   93.6  444.0
2018  16  1 16 1800   -2.1  973.8    0.2  257.4   92.0  444.0
2018  16  1 16 2100   -1.2  974.5    0.2  255.6   90.7  444.0
2018  17  1 17 0000   -5.6  975.1    0.8  234.2   90.0  444.0
2018  17  1 17 0300   -7.4  975.5    1.5  231.5   87.7  444.0
2018  17  1 17 0600   -6.0  976.3    2.1  156.4   77.1  444.0
2018  17  1 17 0900   -6.9  977.4    1.9  337.0   90.7  444.0
2018  17  1 17 1200  -10.0  978.1    0.1   55.6   94.6  444.0
2018  17  1 17 1500  -11.3  978.4    0.1   46.4   87.2  444.0
2018  17  1 17 1800   -9.4  978.8    2.0   66.6   79.2  444.0
2018  17  1 17 2100   -7.4  979.4    1.0  339.6   87.4  444.0
2018  18  1 18 0000  444.0  979.5    1.3   26.9   74.6  444.0
2018  18  1 18 0300  444.0  979.1    2.1   28.9   75.4  444.0
2018  18  1 18 0600   -4.2  979.3    2.5   15.5   81.2  444.0
2018  18  1 18 0900   -4.9  979.1    3.7  135.2   71.4  444.0
2018  18  1 18 1200   -8.2  979.2    2.3  214.7   89.4  444.0
