Year: 2018  Month: 04  ID: LR2  ARGOS: 21360  Name: Laurie II           
Lat: 77.50S  Lon: 170.79E  Elev:   34m
2018  91  4  1 0000  -21.5  999.4    3.3  211.0   63.7  444.0
2018  91  4  1 0300  -23.2  999.1    3.1  181.0   70.7  444.0
2018  91  4  1 0600  -22.8  998.9    4.5  221.0   79.5  444.0
2018  91  4  1 0900  -25.5  998.3    3.1  233.0   83.0  444.0
2018  91  4  1 1200  -25.9  998.7    2.9  193.0   80.8  444.0
2018  91  4  1 1500  -23.8  998.8    4.5  228.0   76.9  444.0
2018  91  4  1 1800  -27.0  998.9    5.5  186.0   83.0  444.0
2018  91  4  1 2100  -28.4  999.9    4.5  218.0   83.0  444.0
2018  92  4  2 0000  -28.5 1000.5    4.9  172.0   78.6  444.0
2018  92  4  2 0300  -23.6 1000.5    3.5  162.0   89.2  444.0
2018  92  4  2 0600  -24.2 1001.3    2.5  194.0   87.9  444.0
2018  92  4  2 0900  -29.1 1002.4    2.1  243.0   81.7  444.0
2018  92  4  2 1200  -29.4 1002.7    2.5  250.0   81.7  444.0
2018  92  4  2 1500  -29.2 1003.1    2.9  254.0   82.2  444.0
2018  92  4  2 1800  -29.1 1003.1    2.7  239.0   80.8  444.0
2018  92  4  2 2100  -24.5 1003.3    3.7  228.0   87.4  444.0
2018  93  4  3 0000  -25.1 1002.8    3.3  216.0   83.9  444.0
2018  93  4  3 0300  -28.1 1001.6    3.1  204.0   78.6  444.0
2018  93  4  3 0600  -29.5 1000.8    2.9  221.0   80.8  444.0
2018  93  4  3 0900  -30.8  999.7    2.9  201.0   78.2  444.0
2018  93  4  3 1200  -31.2  998.3    2.7  180.0   78.6  444.0
2018  93  4  3 1500  -29.9  996.7    3.3  169.0   80.8  444.0
2018  93  4  3 1800  -26.1  995.7    3.9  170.0   80.4  444.0
2018  93  4  3 2100  -23.8  995.3    3.7  183.0   81.3  444.0
2018  94  4  4 0000  -23.9  994.6    4.5  157.0   81.3  444.0
2018  94  4  4 0300  -24.0  994.2    4.3  148.0   81.3  444.0
2018  94  4  4 0600  -23.8  994.2    2.5  186.0   85.7  444.0
2018  94  4  4 0900  -23.5  994.3    1.6  193.0   84.8  444.0
2018  94  4  4 1200  -26.8  994.0    2.7  204.0   84.4  444.0
2018  94  4  4 1500  -31.6  993.8    2.3  246.0   78.6  444.0
2018  94  4  4 1800  -30.2  993.8    2.5  202.0   80.4  444.0
2018  94  4  4 2100  -33.9  993.7    2.1  249.0   76.4  444.0
2018  95  4  5 0000  -33.4  993.6    2.3  259.0   78.6  444.0
2018  95  4  5 0300  -27.6  992.7    2.5  252.0   83.9  444.0
2018  95  4  5 0600  -31.6  992.7    2.7  167.0   78.6  444.0
2018  95  4  5 0900  -24.9  992.5   11.3  184.0   87.0  444.0
2018  95  4  5 1200  -25.1  992.2    7.2  169.0   85.7  444.0
2018  95  4  5 1500  -25.8  992.3   11.1  208.0   85.7  444.0
2018  95  4  5 1800  -28.2  991.5    8.8  170.0   83.0  444.0
2018  95  4  5 2100  -26.8  991.4    6.6  172.0   79.5  444.0
2018  96  4  6 0000  -25.8  991.1    3.1  235.0   76.4  444.0
2018  96  4  6 0300  -25.0  989.8    2.7  274.0   80.0  444.0
2018  96  4  6 0600  -23.4  989.1    2.9  229.0   78.6  444.0
2018  96  4  6 0900  -22.8  988.4    1.8  194.0   79.1  444.0
2018  96  4  6 1200  -24.0  987.3    2.3  312.0   76.9  444.0
2018  96  4  6 1500  -22.1  987.6    3.3  194.0   83.5  444.0
2018  96  4  6 1800  -21.4  986.7    5.8  193.0   91.0  444.0
2018  96  4  6 2100  -21.6  987.3    4.1  253.0   80.8  444.0
2018  97  4  7 0000  -21.2  987.2    3.5  252.0   72.5  444.0
2018  97  4  7 0300  -17.5  986.9    1.8  270.0   70.7  444.0
2018  97  4  7 0600  -19.2  986.8    2.3  295.0   94.0  444.0
2018  97  4  7 0900  -20.5  987.3    1.9  290.0   91.8  444.0
2018  97  4  7 1200  -18.8  988.2    2.1  239.0   80.4  444.0
2018  97  4  7 1500  -18.9  989.2    2.1  264.0   94.0  444.0
2018  97  4  7 1800  -24.5  990.2    3.5  221.0   87.4  444.0
2018  97  4  7 2100  -25.0  991.3    3.1  229.0   87.0  444.0
2018  98  4  8 0000  -22.9  992.2    1.6  252.0   89.6  444.0
2018  98  4  8 0300  -21.2  992.5    1.4  276.0   92.7  444.0
2018  98  4  8 0600  -18.0  993.1    0.8  249.0   94.5  444.0
2018  98  4  8 0900  -19.8  993.3    1.9  273.0   92.7  444.0
2018  98  4  8 1200  -21.2  993.6    1.8  166.0   91.8  444.0
2018  98  4  8 1500  -17.8  993.5    2.9  323.0   95.4  444.0
2018  98  4  8 1800  -17.1  994.1    4.1  298.0   95.8  444.0
2018  98  4  8 2100  -16.6  994.8    0.4  288.0   96.2  444.0
2018  99  4  9 0000  -17.5  994.9    0.4  290.0   93.2  444.0
2018  99  4  9 0300  -16.1  995.3    1.2  260.0   90.1  444.0
2018  99  4  9 0600  -22.0  995.5    3.1  274.0   90.1  444.0
2018  99  4  9 0900  -17.9  996.4    0.8  318.0   88.8  444.0
2018  99  4  9 1200  -17.6  996.6    0.6  326.0   94.9  444.0
2018  99  4  9 1500  -22.1  996.5    0.0    3.0   90.5  444.0
2018  99  4  9 1800  -29.2  997.3    0.0  141.0   82.6  444.0
2018  99  4  9 2100  -30.6  998.5    0.0  186.0   80.4  444.0
2018 100  4 10 0000  -30.6  998.8    0.4  197.0   81.3  444.0
2018 100  4 10 0300  -28.8  998.7    0.6  211.0   83.0  444.0
2018 100  4 10 0600  -31.5  997.9  444.0  444.0   79.1  444.0
2018 100  4 10 0900  -26.1  996.0  444.0  444.0   84.8  444.0
2018 100  4 10 1200  -33.2  993.9  444.0  444.0   77.8  444.0
2018 100  4 10 1500  -33.0  992.4  444.0  444.0   77.3  444.0
2018 100  4 10 1800  -30.2  991.7  444.0  444.0   80.8  444.0
2018 100  4 10 2100  -31.4  991.9  444.0  444.0   79.1  444.0
2018 101  4 11 0000  -22.6  991.7    6.4  274.0   90.1  444.0
2018 101  4 11 0300  -22.8  991.8    1.6  287.0   90.5  444.0
2018 101  4 11 0600  -22.0  991.9    3.5  304.0   90.5  444.0
2018 101  4 11 0900  -20.8  992.5    1.0  245.0   91.8  444.0
2018 101  4 11 1200  -20.9  993.1    2.5  143.0   91.8  444.0
2018 101  4 11 1500  -22.5  993.1    3.5  138.0   89.2  444.0
2018 101  4 11 1800  -23.6  993.3    0.2   35.0   87.9  444.0
2018 101  4 11 2100  -23.8  991.9    2.7   94.0   87.4  444.0
2018 102  4 12 0000  -26.4  990.1    5.8  103.0   85.7  444.0
2018 102  4 12 0300  -24.5  988.2    9.6  119.0   87.0  444.0
2018 102  4 12 0600  -25.8  987.4    9.6  118.0   85.2  444.0
2018 102  4 12 0900  -26.6  987.8    6.2  153.0   83.5  444.0
2018 102  4 12 1200  -27.4  987.3    6.6  188.0   83.9  444.0
2018 102  4 12 1500  -27.9  986.9    4.9  176.0   83.5  444.0
2018 102  4 12 1800  -28.4  986.2    5.5  209.0   83.0  444.0
2018 102  4 12 2100  -29.4  985.9    4.3  194.0   81.7  444.0
2018 103  4 13 0000  -33.9  986.1    2.9  225.0   77.3  444.0
2018 103  4 13 0300  -33.8  984.9    2.7  257.0   76.4  444.0
2018 103  4 13 0600  -31.0  983.6    3.9  253.0   80.4  444.0
2018 103  4 13 0900  -26.6  982.8    5.8  238.0   85.2  444.0
2018 103  4 13 1200  -29.5  982.2    4.1  250.0   79.1  444.0
2018 103  4 13 1500  -31.9  981.2    5.1  232.0   75.6  444.0
2018 103  4 13 1800  -34.1  980.6    5.3  256.0   71.2  444.0
2018 103  4 13 2100  -33.9  981.3    5.5  215.0   74.2  444.0
2018 104  4 14 0000  -36.9  981.3    3.1  166.0   71.2  444.0
2018 104  4 14 0300  -34.8  981.7    2.9  226.0   72.5  444.0
2018 104  4 14 0600  -35.2  982.1    4.1  146.0   74.7  444.0
2018 104  4 14 0900  -34.5  981.5    3.3  138.0   73.8  444.0
2018 104  4 14 1200  -35.1  984.4    1.8  254.0   74.7  444.0
2018 104  4 14 1500  -33.9  984.5    2.1  269.0   75.1  444.0
2018 104  4 14 1800  -29.2  983.7    5.1  304.0   81.7  444.0
2018 104  4 14 2100  -27.0  982.9    6.2  315.0   85.2  444.0
2018 105  4 15 0000  -27.6  982.3    4.3  306.0   84.4  444.0
2018 105  4 15 0300  -27.6  981.7    3.1  332.0   82.2  444.0
2018 105  4 15 0600  -26.2  980.2    3.1  343.0   87.0  444.0
2018 105  4 15 0900  -26.8  980.5    3.3  329.0   80.4  444.0
2018 105  4 15 1200  -32.6  982.6    1.8  118.0   77.3  444.0
