Year: 2018  Month: 12  ID: RLS  ARGOS:  8918  Name: RELAY STATION       
Lat: 74.02S  Lon:  43.07E  Elev: 3353m
2018 335 12  1 0000  -34.7  639.5    7.0   25.0   66.0  444.0
2018 335 12  1 0300  -33.6  640.1    6.3   18.0   63.0  444.0
2018 335 12  1 0600  -28.6  640.8    8.4    2.0   65.0  444.0
2018 335 12  1 0900  -26.1  641.8    9.5    3.0   65.0  444.0
2018 335 12  1 1200  -24.6  642.8    8.2  360.0   64.0  444.0
2018 335 12  1 1500  -25.1  643.7    6.1    9.0   67.0  444.0
2018 335 12  1 1800  -29.5  644.8    4.4   24.0   67.0  444.0
2018 335 12  1 2100  -35.1  645.8    4.8   31.0   65.0  444.0
2018 336 12  2 0000  -33.9  646.6    5.2   19.0   67.0  444.0
2018 336 12  2 0300  -33.6  646.8    4.4   39.0   62.0  444.0
2018 336 12  2 0600  -29.2  646.9    6.4   34.0   65.0  444.0
2018 336 12  2 0900  -26.5  646.5    9.0   33.0   67.0  444.0
2018 336 12  2 1200  -24.9  646.2    9.6   24.0   67.0  444.0
2018 336 12  2 1500  -25.0  646.5    8.6   25.0   71.0  444.0
2018 336 12  2 1800  -26.2  646.7    8.7   37.0   72.0  444.0
2018 336 12  2 2100  -30.8  647.2    6.9   35.0   66.0  444.0
2018 337 12  3 0000  -34.2  646.8    8.0   38.0   63.0  444.0
2018 337 12  3 0300  -33.5  646.1    9.5   44.0   63.0  444.0
2018 337 12  3 0600  -29.2  645.5   10.2   37.0   63.0  444.0
2018 337 12  3 0900  -25.7  644.8   10.9   35.0   66.0  444.0
2018 337 12  3 1200  -23.4  644.0   10.9   32.0   67.0  444.0
2018 337 12  3 1500  -24.8  643.0    9.8   35.0   68.0  444.0
2018 337 12  3 1800  -28.7  642.1    9.1   35.0   66.0  444.0
2018 337 12  3 2100  -32.6  641.3    9.2   33.0   65.0  444.0
2018 338 12  4 0000  -34.4  640.3    9.8   31.0   64.0  444.0
2018 338 12  4 0300  -33.3  638.7   11.1   31.0   65.0  444.0
2018 338 12  4 0600  -29.6  637.1   13.4   24.0   67.0  444.0
2018 338 12  4 0900  -27.2  636.3   14.5   13.0   69.0  444.0
2018 338 12  4 1200  -26.0  635.9   13.6    6.0   71.0  444.0
2018 338 12  4 1500  -26.7  635.7   12.7    5.0   70.0  444.0
2018 338 12  4 1800  -29.4  636.6    9.1  360.0   68.0  444.0
2018 338 12  4 2100  -32.8  637.7    7.3    8.0   66.0  444.0
2018 339 12  5 0000  -35.1  638.3    7.3   11.0   64.0  444.0
2018 339 12  5 0300  -33.2  638.8    9.4   14.0   64.0  444.0
2018 339 12  5 0600  -28.8  639.5   10.2    5.0   67.0  444.0
2018 339 12  5 0900  -25.0  640.0   10.8  360.0   66.0  444.0
2018 339 12  5 1200  -23.0  640.3   10.7  354.0   67.0  444.0
2018 339 12  5 1500  -24.3  640.5   11.6  355.0   70.0  444.0
2018 339 12  5 1800  -26.1  640.8   12.1  353.0   70.0  444.0
2018 339 12  5 2100  -28.4  641.2   11.8  358.0   72.0  444.0
