Year: 2018  Month: 01  ID: WDB  ARGOS:  9506  Name: WINDLESS BIGHT      
Lat: 77.73S  Lon: 167.70E  Elev:   40m
2018   1  1  1 0000   -5.0  984.3    2.4   89.3   71.2   -4.6
2018   1  1  1 0300  444.0  983.6    1.0  358.0   70.8    0.1
2018   1  1  1 0600  444.0  983.3    0.0    0.0   50.8    0.9
2018   1  1  1 0900   -5.6  984.0    2.2  317.1   89.6    1.7
2018   1  1  1 1200  -11.0  983.3    1.0  246.4   99.9    1.6
2018   1  1  1 1500  -13.5  983.3    0.4  358.1   99.9    4.1
2018   1  1  1 1800  -10.3  983.5    0.2  315.5   97.5    1.0
2018   1  1  1 2100   -5.0  984.7    1.6  320.3   88.8    0.3
2018   2  1  2 0000   -2.8  985.1    2.9  342.8   82.1   -0.3
2018   2  1  2 0300  444.0  444.0    2.4  315.5   31.2    0.0
2018   2  1  2 0600   -2.0  444.0    2.2   49.2   56.6    0.0
2018   2  1  2 0900   -5.2  986.7    2.9   40.7   71.7    0.4
2018   2  1  2 1200   -4.5  986.8    2.4  271.7   65.9    4.9
2018   2  1  2 1500  -10.1  987.3    0.7  127.8   80.3    4.8
2018   2  1  2 1800  444.0  988.2    1.1  334.9   99.9    0.9
2018   2  1  2 2100   -4.4  990.5    0.8   42.9   88.9    0.2
2018   3  1  3 0000  444.0  444.0    1.0   15.0   70.1    1.0
2018   3  1  3 0300   -2.5  444.0    3.7   93.1   72.0   -2.2
2018   3  1  3 0600   -2.4  444.0    2.0   38.1   73.3   -0.0
2018   3  1  3 0900   -4.9  444.0    2.1  212.0   75.5    1.2
2018   3  1  3 1200   -4.2  993.6    2.7  314.4   67.0    4.5
2018   3  1  3 1500  444.0  992.7    1.5   28.2   67.4    3.6
2018   3  1  3 1800  444.0  992.5    0.4  315.7   62.6    3.4
2018   3  1  3 2100   -4.9  444.0    0.5  121.0   82.8   -1.1
2018   4  1  4 0000  444.0  991.2    0.6  114.7   78.4   -3.9
2018   4  1  4 0300  444.0  989.4    0.7  156.0   76.2   -1.2
2018   4  1  4 0600  444.0  987.8    1.5  315.2   82.2   -1.4
2018   4  1  4 0900  444.0  986.8    0.9   20.3  100.0    2.2
2018   4  1  4 1200  444.0  985.5    0.5   47.5   74.3    2.5
2018   4  1  4 1500  444.0  983.7    1.5   63.4   83.5    2.2
2018   4  1  4 1800   -9.2  983.3    0.8  177.6   90.0    2.2
2018   4  1  4 2100   -5.5  984.0    0.6  125.6   78.4   -0.7
2018   5  1  5 0000   -4.7  984.5    0.7   73.1   71.8   -3.1
2018   5  1  5 0300  444.0  985.0    0.5  204.2   65.8   -0.9
2018   5  1  5 0600  444.0  986.2    0.5  119.6   70.5   -3.3
2018   5  1  5 0900  444.0  987.0    1.1  298.2   99.9    1.6
2018   5  1  5 1200   -7.0  987.5    0.5  313.5   72.8    0.3
2018   5  1  5 1500   -6.9  987.9    0.4   37.5   77.8    0.3
2018   5  1  5 1800   -6.3  988.3    0.0  169.7   68.8    2.8
2018   5  1  5 2100   -3.4  988.6    1.8  292.4   77.3    0.3
2018   6  1  6 0000   -4.1  987.7    5.4   84.0   84.6   -2.2
2018   6  1  6 0300   -4.8  987.6    4.8   97.8   90.2   -1.6
2018   6  1  6 0600   -5.0  986.9    1.8   44.1   77.4    0.1
2018   6  1  6 0900   -5.4  986.0    2.1   48.0   70.0    0.4
2018   6  1  6 1200   -5.6  984.9    0.9  332.4   63.1    2.3
2018   6  1  6 1500   -6.8  985.1    2.8  234.8   94.7    0.6
2018   6  1  6 1800   -8.3  985.6    3.4   98.4   87.0   -0.9
2018   6  1  6 2100   -3.4  986.3    1.4   26.1   68.3    1.1
2018   7  1  7 0000   -2.8  986.6    4.8   88.5   66.3   -2.3
