Year: 2018  Month: 07  ID: WFD  ARGOS: 99502  Name: Willie Field        
Lat: 77.88S  Lon: 166.96E  Elev:   12m
2018 182  7  1 0000  -23.2  996.4    1.1  265.9   74.7    0.3
2018 182  7  1 0300  -25.5  996.1    3.8   18.5   74.0    1.4
2018 182  7  1 0600  -27.3  996.0    3.1   46.2   78.5    2.9
2018 182  7  1 0900  -27.8  995.0    4.0    7.7   75.4    2.3
2018 182  7  1 1200  -29.1  993.8    2.2  260.8   78.3    2.1
2018 182  7  1 1500  -27.4  993.8    1.7  291.0   79.6    1.6
2018 182  7  1 1800  -32.1  995.0    5.0   19.7   79.5    2.0
2018 182  7  1 2100  -33.3  995.0    4.8   16.4   73.3    1.0
2018 183  7  2 0000  -30.3  996.8    4.3   12.6   73.5    0.8
2018 183  7  2 0300  -29.4  997.1    4.0   11.2   71.1    0.2
2018 183  7  2 0600  -26.9  998.6    1.8   62.1   59.0    1.2
2018 183  7  2 0900  -30.6  998.4    2.1   28.9   68.3    0.3
2018 183  7  2 1200  -28.4  999.1    1.8    8.6   59.7    3.8
2018 183  7  2 1500  -28.2  999.7    1.3  263.5   74.3    0.2
2018 183  7  2 1800  -25.4  998.9    0.4  132.9   77.8    0.3
2018 183  7  2 2100  -31.4  997.1    2.7   71.1   77.8    1.9
2018 184  7  3 0000  -27.1  996.3    1.5  107.0   81.2    2.4
2018 184  7  3 0300  -23.8  994.7    9.9  315.7   79.8    0.4
2018 184  7  3 0600  -25.1  995.0    6.3  318.3   70.3    0.7
2018 184  7  3 0900  -25.2  996.9    6.4  302.3   72.7    0.6
2018 184  7  3 1200  -28.2 1000.4    2.6  241.5   69.5    1.4
2018 184  7  3 1500  -31.6 1002.5    2.3   39.6   76.4    0.0
2018 184  7  3 1800  -28.9 1003.5    3.4   25.6   76.8    0.1
2018 184  7  3 2100  -28.0 1005.8    6.4   80.1   75.0    0.0
2018 185  7  4 0000  -26.4 1007.3    7.9   74.3   76.0    0.0
2018 185  7  4 0300  -25.8 1007.4    8.6   75.6   76.5    0.0
2018 185  7  4 0600  -26.5 1007.8    5.9   72.9   76.2   -0.0
2018 185  7  4 0900  -25.9 1006.8    8.8   66.0   77.3    0.0
2018 185  7  4 1200  -24.6 1005.2    8.5   78.2   77.2    0.0
2018 185  7  4 1500  -23.2 1005.1    8.5   72.9   79.9    0.1
2018 185  7  4 1800  -22.3 1004.7    7.3   75.7   78.6    0.1
2018 185  7  4 2100  -21.9 1003.5    6.5   60.5   79.4    0.1
2018 186  7  5 0000  -21.1 1003.5    8.8   63.8   82.3    0.0
2018 186  7  5 0300  -20.4 1003.2    8.5   67.1   80.6    0.1
2018 186  7  5 0600  -20.4 1002.2    4.0   72.7   82.5    0.1
2018 186  7  5 0900  -21.3 1000.1    5.7   54.6   82.3    0.0
